,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
466,In recent years the budget deficit of Thailand has increased. According to the open- economy macroeconomic model this should have caused which curve to shift right?,None of the above shift right,In recent years the budget deficit of Thailand has increased. According to the open- economy macroeconomic model this should have caused which curve to shift right?,None of the above shift right,In recent years the budget deficit of Thailand has increased. According to the open- economy macroeconomic model this should have caused which curve to shift right?,,,,1,,
467,the term cognition refers to,thinking or knowing,the term cognition refers to,thinking or knowing,,,,RULE BASED,0,0,0
468,the Ancient Greek city-state of Sparta,was a powerful military state,the Ancient Greek city-state of Sparta,was a powerful military state,What type of state was Sparta?,Was Sparta a powerful city-state?,What was the city-state of Sparta known for?,,1,1,1
469,the primary determinant of a country’s standard of living is,its ability to produce goods and services,the primary determinant of a country’s standard of living is,its ability to produce goods and services,What is the primary determinant of a country ’ s standard of living?,,,RULE BASED,0,0,1
470,sampling error describes,how close a sample estimate is to the real population value,sampling error describes,how close a sample estimate is to the real population value,What is margin of error in sampling?,What is the acceptable sampling error?,What is sampling error or margin of error?,,0,0,1
471,korea greatly influenced the development of early Japan by,acting as a bridge for ideas from China,korea greatly influenced the development of early Japan by,acting as a bridge for ideas from China,Howkorea greatly influenced the development of early?,,,RULE BASED,0,0,0
472,a positive production externality will cause a market to produce,less than is socially desirable,a positive production externality will cause a market to produce,less than is socially desirable,What will a positive externality cause a market to produce?,What is positive production externality?,What will a market produce less than is socially desirable?,,1,0,0
473,What is true about the burden of a tax imposed on popcorn?,Buyers and sellers share the burden of the tax,What is true about the burden of a tax imposed on popcorn?,Buyers and sellers share the burden of the tax,What is true about the burden of a tax imposed on popcorn?,,,,1,,
474,Which has been an important factor that has discouraged investment in the economic developments of many Latin American nations?,political instability,Which has been an important factor that has discouraged investment in the economic developments of many Latin American nations?,political instability,Which has been an important factor that has discouraged investment in the economic developments of many Latin American nations?,,,,1,,
475,What effect do neurotransmitters from one neuron have on the next neuron?,They may excite or inhibit it,What effect do neurotransmitters from one neuron have on the next neuron?,They may excite or inhibit it,What effect do neurotransmitters from one neuron have on the next neuron?,,,,1,,
476,Which is a valid statement about the Soviet Union from the time of the Bolshevik Revolution through 1991?,Demand for consumer goods has exceeded production,Which is a valid statement about the Soviet Union from the time of the Bolshevik Revolution through 1991?,Demand for consumer goods has exceeded production,Which is a valid statement about the Soviet Union from the time of the Bolshevik Revolution through 1991?,,,,1,,
477,feudal societies are generally characterized by,an emphasis on social order,feudal societies are generally characterized by,an emphasis on social order,Howfeudal societies are generally?,,,RULE BASED,1,0,0
478,the Supreme Court has ruled that government aid to church -related schools,is permitted when the aid is for a non-religious purpose,the Supreme Court has ruled that government aid to church -related schools,is permitted when the aid is for a non-religious purpose,Is government aid allowed when it is for a non-religious purpose?,In which case did the Court rule that not all forms of aid to church related schools are forbidden under the Constitution?,Do the courts allow government to have a religious purpose?,,1,0,0
